###################################################
Cluster 1
Word	#Occurence
'decent'	6
'panic'	6
'longitude'	6
'sunda'	6
'strikes'	5
'travel'	5
'comprehend'	5
'euroclydon'	5
'infants'	5
'langsdorff'	5
'sufficient'	5
'bend'	5
'locks'	5
'girl'	5
'towns'	5
'obeying'	5
'plight'	5
'geological'	5
'train'	5
'pardon'	5
'worshipping'	5
'salvation'	5
'belshazzar'	5
'amber'	5
'france'	5
'nowadays'	5
'embark'	5
'prevent'	5
'splice'	5
'owen'	5
'countless'	5
'blended'	5
'decided'	5
'downright'	5
'pitchpoling'	5
'revelry'	5
'haughty'	5
'splinters'	5
'suffering'	5
'volition'	5
'shiver'	5
'pickle'	5
'shoot'	5
'portents'	5
'vapoury'	5
'lazarus'	5
'orphans'	5
'deliberate'	5
'unwonted'	5
'curses'	5
'inference'	5
'smile'	5
'sway'	5
'induce'	5
'enjoy'	5
'pour'	5
'unconditional'	5
'produce'	5
'flee'	5
'remove'	5
'holland'	5
'clutch'	5
'scorn'	5
'detail'	5
'surrender'	5
'doze'	5
'fasten'	5
'potency'	5
'straightened'	5
'carving'	5
'tough'	5
'smoked'	5
'fiends'	5
'unharmed'	5
'dismay'	5
'invited'	5
'facing'	5
'deacon'	5
'murderers'	5
'hav''n''t'	5
'antiquity'	5
'tranque'	5
'goin'	5
'archy'	5
'ghastly'	5
'astonishment'	5
'squalls'	5
'sorrow'	5
'slipping'	5
'colours'	5
'showing'	5
'companies'	5
'pondering'	5
'linnaeus'	5
'afar'	5
'readiness'	5
'fighting'	5
'sabbath'	4
'require'	4
'household'	4
'punch'	4
'grapes'	4
'reverence'	4
'asia'	4
'disdain'	4
'insurance'	4
'fling'	4
'carpenters'	4
'spain'	4
'sag'	4
'imagine'	4
'protection'	4
'swiftness'	4
'atmospheric'	4
'swallows'	4
'maritime'	4
'paint'	4
'ceaseless'	4
'lustre'	4
'killing'	4
'stagger'	4
'sinners'	4
'render'	4
'fountains'	4
'practicable'	4
'garnery'	4
'note'	4
'furnishing'	4
'random'	4
'enable'	4
'queequeg''s'	4
'subsequently'	4
'clap'	4
'intensely'	4
'halting'	4
'impatience'	4
'dromedary'	4
'ugly'	4
'idiot'	4
'silly'	4
'apprehensiveness'	4
'superstition'	4
'depart'	4
'stir'	4
'assist'	4
'teach'	4
'suspend'	4
'pry'	4
'desist'	4
'destroy'	4
'blend'	4
'jig'	4
'distinguish'	4
'assert'	4
'flavor'	4
'march'	4
'vigorously'	4
'examine'	4
'lucifers'	4
'escaping'	4
'gorgeous'	4
'globular'	4
'serpents'	4
'incessantly'	4
'grimly'	4
'wax'	4
'madly'	4
'man-of-war'	4
'europe'	4
'courtesy'	4
'indefinite'	4
'christendom'	4
'experiment'	4
'milk-white'	4
'breezes'	4
'mounttop'	4
'genial'	4
'eve'	4
'ottoman'	4
'unsounded'	4
'hawk'	4
'ensued'	4
'defiance'	4
'peru'	4
'corporeal'	4
'merchantmen'	4
'bubbling'	4
'india'	4
'attaining'	4
'spotted'	4
'fastening'	4
'singularly'	4
'aunt'	4
'successfully'	4
'physical'	4
'december'	4
'virginia'	4
'willingly'	4
'gate'	4
'embraced'	4
'dreamy'	4
'miraculous'	4
'gin'	4
'recorded'	4
'lamps'	4
'design'	4
'paradise'	4
'riotous'	4
'store'	4
'justice'	4
'lifeless'	4
'untutored'	4
'martha'	4
'rome'	4
'offering'	4
'ale'	4
'jupiter'	4
'ours'	4
'limber'	4
'chewed'	4
'fuel'	4
'divers'	4
'fasting'	4
'tantalizing'	3
'lard'	3
'broiled'	3
'ruthless'	3
'triumph'	3
'nelson'	3
'psalmody'	3
'rum'	3
'crowned'	3
'boneless'	3
'breed'	3
'hug'	3
'hearth-stone'	3
'barbarous'	3
'relieve'	3
'skilfully'	3
'preluding'	3
'rebellion'	3
'dives'	3
'gomorrah'	3
'progression'	3
'cutting-in'	3
'evermore'	3
'punishment'	3
'repentance'	3
'annihilation'	3
'genuine'	3
'sinful'	3
'altered'	3
'bleached'	3
'respectable'	3
'smelling'	3
'sixty-five'	3
'address'	3
'bended'	3
'marbles'	3
'untouched'	3
'profane'	3
'deliriously'	3
'drunken'	3
'reverie'	3
'abide'	3
'whispers'	3
'hiss'	3
'staves'	3
'alternately'	3
'infiltrated'	3
'legendary'	3
'defy'	3
'joyful'	3
'pays'	3
'intensified'	3
'providence'	3
'equality'	3
'tornadoes'	3
'jewelled'	3
'strangeness'	3
'trampling'	3
'hairy'	3
'averted'	3
'perfect'	3
'peaked'	3
'impaling'	3
'portuguese'	3
'iceland'	3
'extensive'	3
'ordinarily'	3
'darkly'	3
'frequent'	3
'abraham'	3
'satan'	3
'joint'	3
'cetacean'	3
'persuade'	3
'satisfy'	3
'sharing'	3
'reign'	3
'warn'	3
'lodge'	3
'overtake'	3
'consort'	3
'grope'	3
'slip'	3
'stash'	3
'wrench'	3
'joyously'	3
'drowning'	3
'perform'	3
'snapping'	3
'beg'	3
'local'	3
'dodge'	3
'wade'	3
'solve'	3
'inhale'	3
'slay'	3
'slumber'	3
'sprained'	3
'choking'	3
'weep'	3
'obtain'	3
'evince'	3
'press'	3
'knock'	3
'surmise'	3
'duck'	3
'tinker'	3
'plug'	3
'buy'	3
'reef'	3
'describe'	3
'cure'	3
'prevail'	3
